Timestamp(ms),Vehicle_ID,Cur_ds(m)
1665768155080,DOT-501,70.0
1665768155085,DOT-502,90.0
1665768155086,DOT-503,110.0
1665768155087,DOT-504,130.0
1665768155088,DOT-505,150.0
1665768155089,DOT-506,170.0
1665768155090,DOT-507,50.0
1665768155091,DOT-508,70.0
1665768155092,DOT-509,90.0
1665768156094,DOT-501,65.0
1665768156095,DOT-502,85.0
1665768156097,DOT-503,105.0
1665768156098,DOT-504,125.0
1665768156099,DOT-505,145.0
1665768156100,DOT-506,165.0
1665768156101,DOT-507,47.5
1665768156103,DOT-508,67.5
1665768156104,DOT-509,87.5
1665768157105,DOT-501,60.0
1665768157107,DOT-502,80.0
1665768157109,DOT-503,100.0
1665768157110,DOT-504,120.0
1665768157111,DOT-505,140.0
1665768157112,DOT-506,160.0
1665768157114,DOT-507,45.0
1665768157115,DOT-508,65.0
1665768157116,DOT-509,85.0
1665768158118,DOT-501,55.0
1665768158120,DOT-502,75.0
1665768158121,DOT-503,95.0
1665768158122,DOT-504,115.0
1665768158123,DOT-505,135.0
1665768158124,DOT-506,155.0
1665768158125,DOT-507,42.5
1665768158126,DOT-508,62.5
1665768158128,DOT-509,82.5
1665768159130,DOT-501,50.0
1665768159131,DOT-502,70.0
1665768159132,DOT-503,90.0
1665768159134,DOT-504,110.0
1665768159136,DOT-505,130.0
1665768159137,DOT-506,150.0
1665768159138,DOT-507,40.0
1665768159139,DOT-508,60.0
1665768159140,DOT-509,80.0
1665768468933,DOT-501,70.0
1665768468936,DOT-502,90.0
1665768468937,DOT-503,110.0
1665768468938,DOT-504,130.0
1665768468939,DOT-505,150.0
1665768468940,DOT-506,170.0
1665768468941,DOT-507,50.0
1665768468942,DOT-508,70.0
1665768468943,DOT-509,90.0
1665768469944,DOT-501,65.0
1665768469945,DOT-502,85.0
1665768469946,DOT-503,105.0
1665768469947,DOT-504,125.0
1665768469948,DOT-505,145.0
1665768469948,DOT-506,165.0
1665768469949,DOT-507,47.5
1665768469950,DOT-508,67.5
1665768469951,DOT-509,87.5
1665768470953,DOT-501,60.0
1665768470955,DOT-502,80.0
1665768470956,DOT-503,100.0
1665768470957,DOT-504,120.0
1665768470958,DOT-505,140.0
1665768470959,DOT-506,160.0
1665768470960,DOT-507,45.0
1665768470961,DOT-508,65.0
1665768470963,DOT-509,85.0
1665768471965,DOT-501,55.0
1665768471967,DOT-502,75.0
1665768471968,DOT-503,95.0
1665768471969,DOT-504,115.0
1665768471970,DOT-505,135.0
1665768471971,DOT-506,155.0
1665768471972,DOT-507,42.5
1665768471974,DOT-508,62.5
1665768471975,DOT-509,82.5
1665768472977,DOT-501,50.0
1665768472978,DOT-502,70.0
1665768472981,DOT-503,90.0
1665768472982,DOT-504,110.0
1665768472983,DOT-505,130.0
1665768472984,DOT-506,150.0
1665768472985,DOT-507,40.0
1665768472985,DOT-508,60.0
1665768472986,DOT-509,80.0
1665768534510,DOT-501,70.0
1665768534515,DOT-502,90.0
1665768534519,DOT-503,110.0
1665768534522,DOT-504,130.0
1665768534524,DOT-505,150.0
1665768534525,DOT-506,170.0
1665768534526,DOT-507,50.0
1665768534527,DOT-508,70.0
1665768534528,DOT-509,90.0
1665768535530,DOT-501,65.0
1665768535532,DOT-502,85.0
1665768535534,DOT-503,105.0
1665768535535,DOT-504,125.0
1665768535537,DOT-505,145.0
1665768535538,DOT-506,165.0
1665768535539,DOT-507,47.5
1665768535540,DOT-508,67.5
1665768535541,DOT-509,87.5
1665768536544,DOT-501,60.0
1665768536545,DOT-502,80.0
1665768536546,DOT-503,100.0
1665768536548,DOT-504,120.0
1665768536549,DOT-505,140.0
1665768536550,DOT-506,160.0
1665768536552,DOT-507,45.0
1665768536553,DOT-508,65.0
1665768536554,DOT-509,85.0
1665768537557,DOT-501,55.0
1665768537560,DOT-502,75.0
1665768537561,DOT-503,95.0
1665768537562,DOT-504,115.0
1665768537563,DOT-505,135.0
1665768537566,DOT-506,155.0
1665768537567,DOT-507,42.5
1665768537568,DOT-508,62.5
1665768537569,DOT-509,82.5
1665768538572,DOT-501,50.0
1665768538573,DOT-502,70.0
1665768538575,DOT-503,90.0
1665768538576,DOT-504,110.0
1665768538578,DOT-505,130.0
1665768538579,DOT-506,150.0
1665768538580,DOT-507,40.0
1665768538581,DOT-508,60.0
1665768538582,DOT-509,80.0
